player_name,Position,team,actual_pass_rate of team before pick,actual_rush_rate  of team before pick,predicted_pass_rate based on draft pick,predicted_rush_rate based on draft pick
Jalen Rivers,OT,cincinnati bengals,67%,32%,63%,37%
Trevor Etienne,RB,carolina panthers,63%,36%,63%,37%
Tai Felton,WR,minnesota vikings,60%,39%,62%,38%
Kyle McCord,QB,philadelphia eagles,48%,51%,53%,47%
Jarquez Hunter,RB,los angeles rams,57%,42%,60%,40%
Ollie Gordon II,RB,miami dolphins,61%,38%,62%,38%
Kalel Mullings,RB,tennessee titans,59%,40%,61%,39%
Kyle Williams,WR,new england patriots,62%,37%,63%,37%
LeQuint Allen,RB,jacksonville jaguars,61%,38%,60%,40%
Oronde Gadsden II,TE,los angeles chargers,58%,41%,59%,41%
Jackson Hawes,TE,buffalo bills,57%,42%,60%,40%
Kyle Monangai,RB,chicago bears,65%,34%,63%,37%
Jaydon Blue,RB,dallas cowboys,62%,37%,62%,38%
Jaylin Lane,WR,washington commanders,59%,40%,63%,37%
Tahj Brooks,RB,cincinnati bengals,67%,32%,65%,35%
Jack Nelson,OT,atlanta falcons,55%,44%,56%,44%
Carson Vinson,OT,baltimore ravens,52%,47%,56%,44%
Nick Nash,WR,seattle seahawks,66%,33%,64%,36%
Chimere Dike,WR,tennessee titans,59%,40%,62%,38%
Ricky White III,WR,seattle seahawks,66%,33%,64%,36%
Jo'Quavious Marks,RB,houston texans,63%,36%,63%,37%
Riley Leonard,QB,indianapolis colts,55%,44%,57%,43%
Thomas Fidone II,TE,new york giants,63%,36%,60%,40%
Jimmy Horn Jr.,WR,carolina panthers,63%,36%,62%,38%
Jacory Croskey-Merritt,RB,washington commanders,59%,40%,59%,41%
LaJohntay Wester,WR,baltimore ravens,52%,47%,57%,43%
Ja'Quinden Jackson,RB,carolina panthers,63%,36%,62%,38%
Kaden Prather,WR,buffalo bills,57%,42%,59%,41%
Graham Mertz,QB,houston texans,63%,36%,61%,39%
Arian Smith,WR,new york jets,66%,33%,64%,36%
KeAndre Lambert-Smith,WR,los angeles chargers,58%,41%,60%,40%
Moliki Matavao,TE,new orleans saints,60%,39%,59%,41%
Luke Lachey,TE,houston texans,63%,36%,58%,42%
Konata Mumpfield,WR,los angeles rams,57%,42%,58%,42%
Isaac TeSlaa,WR,detroit lions,54%,45%,57%,43%
Phil Mafah,RB,dallas cowboys,62%,37%,62%,38%
Gavin Bartholomew,TE,minnesota vikings,60%,39%,60%,40%
Dont'e Thornton Jr.,WR,las vegas raiders,66%,33%,64%,36%
Daniel Jackson,WR,carolina panthers,63%,36%,62%,38%
Montrell Johnson Jr.,RB,arizona cardinals,59%,40%,62%,38%
EJ Smith,RB,houston texans,63%,36%,64%,36%
Dominic Lovett,WR,detroit lions,54%,45%,57%,43%
Josh Kelly,WR,washington commanders,59%,40%,63%,37%
Jordan Williams,OT,green bay packers,51%,48%,54%,46%
Robbie Ouzts,TE,seattle seahawks,66%,33%,64%,36%
Donovan Smith,QB,los angeles chargers,58%,41%,60%,40%
